timestamp_utc,bid,ask,spread_usd_oz,spread_pips,market_open
2026-07-15 03:05:04,4039.82,4039.94,0.120,12.0,1
2026-07-15 03:05:09,4040.24,4040.33,0.090,9.0,1
2026-07-15 03:05:14,4040.16,4040.21,0.050,5.0,1
2026-07-15 03:05:19,4039.46,4039.58,0.120,12.0,1
2026-07-15 03:05:24,4039.21,4039.33,0.120,12.0,1
2026-07-15 03:05:29,4039.15,4039.24,0.090,9.0,1
2026-07-15 03:05:34,4039.07,4039.12,0.050,5.0,1
2026-07-15 03:05:39,4039.02,4039.07,0.050,5.0,1
2026-07-15 03:05:44,4039.00,4039.05,0.050,5.0,1
2026-07-15 03:05:49,4038.97,4039.02,0.050,5.0,1
2026-07-15 03:05:54,4038.91,4038.96,0.050,5.0,1
2026-07-15 03:05:59,4038.57,4038.63,0.060,6.0,1
2026-07-15 03:06:04,4037.66,4037.78,0.120,12.0,1
2026-07-15 03:06:09,4037.58,4037.70,0.120,12.0,1
2026-07-15 03:06:14,4037.28,4037.37,0.090,9.0,1
2026-07-15 03:06:19,4037.40,4037.52,0.120,12.0,1
2026-07-15 03:06:24,4037.42,4037.47,0.050,5.0,1
2026-07-15 03:06:29,4037.92,4038.04,0.120,12.0,1
2026-07-15 03:06:34,4037.96,4038.03,0.070,7.0,1
2026-07-15 03:06:39,4038.37,4038.42,0.050,5.0,1
2026-07-15 03:06:44,4038.76,4038.88,0.120,12.0,1
2026-07-15 03:06:49,4038.96,4039.05,0.090,9.0,1
2026-07-15 03:06:54,4038.77,4038.82,0.050,5.0,1
2026-07-15 03:06:59,4038.73,4038.78,0.050,5.0,1
2026-07-15 03:07:04,4038.52,4038.57,0.050,5.0,1
2026-07-15 03:07:09,4038.15,4038.20,0.050,5.0,1
2026-07-15 03:07:14,4038.08,4038.13,0.050,5.0,1
2026-07-15 03:07:19,4038.03,4038.08,0.050,5.0,1
2026-07-15 03:07:24,4037.71,4037.77,0.060,6.0,1
2026-07-15 03:07:29,4037.90,4037.96,0.060,6.0,1
2026-07-15 03:07:34,4037.84,4037.89,0.050,5.0,1
2026-07-15 03:07:39,4037.77,4037.82,0.050,5.0,1
2026-07-15 03:07:44,4037.54,4037.59,0.050,5.0,1
2026-07-15 03:07:49,4037.22,4037.28,0.060,6.0,1
2026-07-15 03:07:54,4037.24,4037.32,0.080,8.0,1
2026-07-15 03:07:59,4037.25,4037.31,0.060,6.0,1
2026-07-15 03:08:04,4037.10,4037.22,0.120,12.0,1
2026-07-15 03:08:09,4036.77,4036.86,0.090,9.0,1
2026-07-15 03:08:14,4036.70,4036.82,0.120,12.0,1
2026-07-15 03:08:19,4036.85,4036.96,0.110,11.0,1
2026-07-15 03:08:24,4036.82,4036.91,0.090,9.0,1
2026-07-15 03:08:29,4036.92,4037.01,0.090,9.0,1
2026-07-15 03:08:34,4036.86,4036.98,0.120,12.0,1
2026-07-15 03:08:39,4036.32,4036.44,0.120,12.0,1
2026-07-15 03:08:44,4036.24,4036.36,0.120,12.0,1
2026-07-15 03:08:49,4036.30,4036.39,0.090,9.0,1
2026-07-15 03:08:54,4036.24,4036.31,0.070,7.0,1
2026-07-15 03:08:59,4036.29,4036.34,0.050,5.0,1
2026-07-15 03:09:04,4036.31,4036.38,0.070,7.0,1
2026-07-15 03:09:09,4036.19,4036.29,0.100,10.0,1
2026-07-15 03:09:14,4036.39,4036.50,0.110,11.0,1
2026-07-15 03:09:19,4036.27,4036.36,0.090,9.0,1
2026-07-15 03:09:24,4036.45,4036.57,0.120,12.0,1
2026-07-15 03:09:29,4036.99,4037.10,0.110,11.0,1
2026-07-15 03:09:34,4036.58,4036.70,0.120,12.0,1
2026-07-15 03:09:39,4037.06,4037.18,0.120,12.0,1
2026-07-15 03:09:44,4036.67,4036.79,0.120,12.0,1
2026-07-15 03:09:49,4036.77,4036.89,0.120,12.0,1
2026-07-15 03:09:54,4036.68,4036.76,0.080,8.0,1
2026-07-15 03:09:59,4036.76,4036.81,0.050,5.0,1
2026-07-15 03:10:04,4036.63,4036.70,0.070,7.0,1
2026-07-15 03:10:09,4036.65,4036.70,0.050,5.0,1
2026-07-15 03:10:14,4036.64,4036.69,0.050,5.0,1
2026-07-15 03:10:19,4036.50,4036.62,0.120,12.0,1
2026-07-15 03:10:24,4036.69,4036.81,0.120,12.0,1
2026-07-15 03:10:29,4036.48,4036.60,0.120,12.0,1
2026-07-15 03:10:34,4036.51,4036.58,0.070,7.0,1
2026-07-15 03:10:39,4036.34,4036.39,0.050,5.0,1
2026-07-15 03:10:44,4036.34,4036.39,0.050,5.0,1
2026-07-15 03:10:49,4036.50,4036.56,0.060,6.0,1
2026-07-15 03:10:54,4036.41,4036.52,0.110,11.0,1
2026-07-15 03:10:59,4036.53,4036.58,0.050,5.0,1
2026-07-15 03:11:04,4036.77,4036.86,0.090,9.0,1
2026-07-15 03:11:09,4036.65,4036.75,0.100,10.0,1
2026-07-15 03:11:14,4036.06,4036.18,0.120,12.0,1
2026-07-15 03:11:19,4035.76,4035.88,0.120,12.0,1
2026-07-15 03:11:24,4035.76,4035.85,0.090,9.0,1
