timestamp_utc,close,tick_volume
1376913240,1372.95,210
1376913300,1373.56,72
1376913360,1374.25,196
1376913420,1373.45,110
1376913480,1373.55,74
1376913540,1373.95,90
1376913600,1373.45,114
1376913660,1373.44,58
1376913720,1374.06,76
1376913780,1373.75,88
1376913840,1374.45,282
1376913900,1375.42,164
1376913960,1375.14,402
1376914020,1375.07,168
1376914080,1375.42,416
1376914140,1375.97,336
1376914200,1375.35,288
1376914260,1375.29,282
1376914320,1375.28,190
1376914380,1375.18,90
1376914440,1375.23,120
1376914500,1374.73,92
1376914560,1374.42,180
1376914620,1374.45,212
1376914680,1374.03,156
1376914740,1374.82,418
1376914800,1373.75,364
1376914860,1375.35,192
1376914920,1374.33,192
1376914980,1373.66,142
1376915040,1373.47,220
1376915100,1372.94,210
1376915160,1373.36,138
1376915220,1373.76,72
1376915280,1373.04,120
1376915340,1372.14,142
1376915400,1372.05,510
1376915460,1372.63,246
1376915520,1372.84,240
1376915580,1372.57,124
1376915640,1373.17,130
1376915700,1372.68,218
1376915760,1373.17,70
1376915820,1372.65,132
1376915880,1372.85,238
1376915940,1372.85,106
1376916000,1372.35,88
1376916060,1372.43,104
1376916120,1372.32,248
1376916180,1371.95,124
1376916240,1372.26,210
1376916300,1372.35,160
1376916360,1372.55,62
1376916420,1372.77,146
1376916480,1372.95,220
1376916540,1372.65,256
1376916600,1372.55,218
1376916660,1372.69,158
1376916720,1372.43,128
1376916780,1372.88,104
1376916840,1372.91,230
1376916900,1372.55,172
1376916960,1372.63,136
1376917020,1372.43,136
1376917080,1372.93,192
1376917140,1372.51,158
1376917200,1369.53,648
1376917260,1369.37,478
1376917320,1369.95,442
1376917380,1367.47,616
1376917440,1369.05,460
1376917500,1369.30,340
1376917560,1369.87,608
1376917620,1369.81,350
1376917680,1370.35,272
1376917740,1370.52,388
1376917800,1370.42,220
1376917860,1371.71,490
1376917920,1371.57,314
1376917980,1371.25,288
1376918040,1371.15,206
1376918100,1371.43,198
1376918160,1371.30,204
1376918220,1371.25,184
1376918280,1372.13,386
1376918340,1371.99,348
1376918400,1370.78,264
1376918460,1370.86,194
1376918520,1370.23,166
1376918580,1370.29,382
1376918640,1369.78,462
1376918700,1369.63,342
1376918760,1369.83,250
1376918820,1369.28,198
1376918880,1370.70,310
1376918940,1370.19,270
1376919000,1370.55,318
1376919060,1370.51,368
1376919120,1370.93,246
1376919180,1370.43,342
1376919240,1371.33,300
1376919300,1370.63,364
1376919360,1370.41,142
1376919420,1370.51,130
1376919480,1370.03,280
1376919540,1370.42,174
1376919600,1370.71,232
1376919660,1370.83,256
1376919720,1369.43,406
1376919780,1369.58,404
1376919840,1369.34,342
1376919900,1369.41,242
1376919960,1369.26,298
1376920020,1369.45,276
1376920080,1368.83,270
1376920140,1368.39,386
1376920200,1369.64,356
1376920260,1369.05,204
1376920320,1368.92,202
1376920380,1368.67,248
1376920440,1368.13,398
1376920500,1369.05,446
1376920560,1368.90,242
1376920620,1368.77,194
1376920680,1368.65,190
1376920740,1368.46,360
1376920800,1365.64,690
1376920860,1366.30,566
1376920920,1364.35,680
1376920980,1365.30,556
1376921040,1365.20,594
1376921100,1365.59,422
1376921160,1364.84,572
1376921220,1365.00,468
1376921280,1364.78,532
1376921340,1364.41,492
1376921400,1365.33,334
1376921460,1366.14,426
1376921520,1365.95,438
1376921580,1365.86,312
1376921640,1366.69,360
1376921700,1367.05,334
1376921760,1366.47,380
1376921820,1366.91,218
1376921880,1366.38,300
1376921940,1365.85,320
1376922000,1366.70,240
1376922060,1367.25,268
1376922120,1367.39,272
1376922180,1366.86,290
1376922240,1367.11,204
1376922300,1367.04,188
1376922360,1367.17,186
1376922420,1367.17,218
1376922480,1366.51,180
1376922540,1365.96,394
1376922600,1365.67,366
1376922660,1365.87,214
1376922720,1366.33,216
1376922780,1366.25,250
1376922840,1367.00,188
1376922900,1366.15,250
1376922960,1366.26,300
1376923020,1366.05,150
1376923080,1366.65,170
1376923140,1366.50,166
1376923200,1367.00,206
1376923260,1366.91,322
1376923320,1366.63,202
1376923380,1366.94,148
1376923440,1367.20,124
1376923500,1368.11,250
1376923560,1367.95,226
1376923620,1367.60,186
1376923680,1367.60,176
1376923740,1367.90,186
1376923800,1367.93,296
1376923860,1367.65,192
1376923920,1367.41,158
1376923980,1367.40,118
1376924040,1367.28,216
1376924100,1366.61,274
1376924160,1366.52,180
1376924220,1366.67,342
1376924280,1366.57,206
1376924340,1366.95,252
1376924400,1366.19,198
1376924460,1366.48,192
1376924520,1366.56,232
1376924580,1366.93,252
1376924640,1366.53,180
1376924700,1367.00,194
1376924760,1366.48,204
1376924820,1366.49,280
1376924880,1366.40,204
1376924940,1366.53,244
1376925000,1366.01,180
1376925060,1366.20,222
1376925120,1366.50,146
1376925180,1366.87,244
1376925240,1366.68,204
1376925300,1366.41,188
1376925360,1366.32,220
1376925420,1366.38,96
1376925480,1366.40,110
1376925540,1366.37,160
1376925600,1367.47,278
1376925660,1367.12,196
1376925720,1367.62,108
1376925780,1367.66,126
1376925840,1367.85,190
1376925900,1367.39,206
1376925960,1366.66,284
1376926020,1366.38,176
1376926080,1366.37,136
1376926140,1365.60,288
1376926200,1365.80,234
1376926260,1365.42,248
1376926320,1365.28,254
1376926380,1363.52,678
1376926440,1364.06,536
1376926500,1364.10,348
1376926560,1363.41,272
1376926620,1364.38,316
1376926680,1364.29,178
1376926740,1364.06,204
1376926800,1363.76,242
1376926860,1364.38,198
1376926920,1363.69,246
1376926980,1363.36,280
1376927040,1363.01,376
1376927100,1362.88,372
1376927160,1363.54,298
1376927220,1362.63,386
1376927280,1363.08,440
1376927340,1363.64,346
1376927400,1363.50,250
1376927460,1364.19,356
1376927520,1363.92,212
1376927580,1363.85,214
1376927640,1364.17,218
1376927700,1363.99,106
1376927760,1364.31,214
1376927820,1365.12,272
1376927880,1364.93,430
1376927940,1364.79,214
1376928000,1364.18,296
1376928060,1364.35,342
1376928120,1364.88,214
1376928180,1364.36,198
1376928240,1364.36,128
1376928300,1364.67,152
1376928360,1364.37,174
1376928420,1364.65,128
1376928480,1364.73,130
1376928540,1364.73,118
1376928600,1364.95,86
1376928660,1365.01,202
1376928720,1365.13,112
1376928780,1364.86,120
1376928840,1363.96,212
1376928900,1364.43,154
1376928960,1364.58,72
1376929020,1364.75,44
1376929080,1364.76,112
1376929140,1364.74,134
1376929200,1365.03,96
1376929260,1364.98,52
1376929320,1364.95,90
1376929380,1365.23,144
1376929440,1365.18,208
1376929500,1365.54,106
1376929560,1365.80,112
1376929620,1365.69,122
1376929680,1365.65,156
1376929740,1365.49,140
1376929800,1365.48,108
1376929860,1365.46,90
1376929920,1365.76,90
1376929980,1365.55,116
1376930040,1365.66,92
1376930100,1365.67,116
1376930160,1365.48,202
1376930220,1364.95,166
1376930280,1365.08,192
1376930340,1364.88,132
1376930400,1364.68,146
1376930460,1365.68,120
1376930520,1365.48,142
1376930580,1364.88,154
1376930640,1364.91,126
1376930700,1364.82,128
1376930760,1364.88,120
1376930820,1364.64,86
1376930880,1364.65,104
1376930940,1364.53,182
1376931000,1364.49,154
1376931060,1364.65,226
1376931120,1364.69,148
1376931180,1364.66,84
1376931240,1364.57,150
1376931300,1364.49,134
1376931360,1364.57,174
1376931420,1364.11,162
1376931480,1364.15,66
1376931540,1364.18,128
1376931600,1363.48,222
1376931660,1363.77,76
1376931720,1364.56,226
1376931780,1364.78,298
1376931840,1365.02,276
1376931900,1365.43,370
1376931960,1365.03,188
1376932020,1366.09,218
1376932080,1365.63,350
1376932140,1365.76,160
1376932200,1365.43,66
1376932260,1365.43,64
1376932320,1365.38,44
1376932380,1365.43,14
1376932440,1365.74,290
1376932500,1365.99,178
1376932560,1365.64,200
1376932620,1365.61,14
1376932680,1365.57,82
1376932740,1365.97,96
1376932800,1365.48,200
1376932860,1365.66,70
1376932920,1365.80,156
1376932980,1365.72,90
1376933040,1365.76,180
1376933100,1365.51,100
1376933160,1365.70,74
1376933220,1366.08,152
